"Adults age 18 and older with a usual source of care
"
"Adults with a usual source of care"
time_period,state,population,cohort,point_estimate
2012,"United States",all,All,77.8
2013,"United States",all,All,76.2
2014,"United States",all,All,77.1
2015,"United States",all,All,78.4
2016,"United States",all,All,78
2017,"United States",all,All,77.4
2018,"United States",all,All,77.1
2019,"United States",all,All,76.5
2020,"United States",all,All,76.8
2021,"United States",all,All,83.2
2012,Alabama,all,All,80.1
2013,Alabama,all,All,77.8
2014,Alabama,all,All,76.5
2015,Alabama,all,All,79.1
2016,Alabama,all,All,78.6
2017,Alabama,all,All,79.2
2018,Alabama,all,All,78
2019,Alabama,all,All,77.3
2020,Alabama,all,All,78.4
2021,Alabama,all,All,83.6
2012,Alaska,all,All,62.8
2013,Alaska,all,All,67.1
2014,Alaska,all,All,65.8
2015,Alaska,all,All,64.6
2016,Alaska,all,All,67.7
2017,Alaska,all,All,68.7
2018,Alaska,all,All,63
2019,Alaska,all,All,68.1
2020,Alaska,all,All,65.6
2021,Alaska,all,All,76.2
2012,Arizona,all,All,74
2013,Arizona,all,All,68.1
2014,Arizona,all,All,72
2015,Arizona,all,All,72.3
2016,Arizona,all,All,73.4
2017,Arizona,all,All,72.5
2018,Arizona,all,All,73.4
2019,Arizona,all,All,71
2020,Arizona,all,All,70.9
2021,Arizona,all,All,77.6
2012,Arkansas,all,All,77.4
2013,Arkansas,all,All,77.1
2014,Arkansas,all,All,77.8
2015,Arkansas,all,All,83.5
2016,Arkansas,all,All,80.2
2017,Arkansas,all,All,80.4
2018,Arkansas,all,All,81.2
2019,Arkansas,all,All,78.8
2020,Arkansas,all,All,76.2
2021,Arkansas,all,All,84.4
2012,California,all,All,72.7
2013,California,all,All,71.2
2014,California,all,All,74.3
2015,California,all,All,76.6
2016,California,all,All,76
2017,California,all,All,75.6
2018,California,all,All,74.6
2019,California,all,All,74.7
2020,California,all,All,75.6
2021,California,all,All,81.9
2012,Colorado,all,All,76.8
2013,Colorado,all,All,76.4
2014,Colorado,all,All,76
2015,Colorado,all,All,76.1
2016,Colorado,all,All,74.3
2017,Colorado,all,All,73.7
2018,Colorado,all,All,73.9
2019,Colorado,all,All,73.4
2020,Colorado,all,All,72.5
2021,Colorado,all,All,81.6
2012,Connecticut,all,All,86.1
2013,Connecticut,all,All,84.8
2014,Connecticut,all,All,84.1
2015,Connecticut,all,All,85.1
2016,Connecticut,all,All,85.1
2017,Connecticut,all,All,85.2
2018,Connecticut,all,All,83.9
2019,Connecticut,all,All,83.4
2020,Connecticut,all,All,83.3
2021,Connecticut,all,All,87.2
2012,Delaware,all,All,87
2013,Delaware,all,All,85.9
2014,Delaware,all,All,85.9
2015,Delaware,all,All,84.8
2016,Delaware,all,All,83.1
2017,Delaware,all,All,81.6
2018,Delaware,all,All,81.6
2019,Delaware,all,All,82.2
2020,Delaware,all,All,82.9
