"Adults age 18 and older who went without care because of cost in past year
"
"Adults who went without care because of cost"
time_period,state,population,cohort,point_estimate
2012,"United States",all,All,16.6
2013,"United States",all,All,15.9
2014,"United States",all,All,14.4
2015,"United States",all,All,13.3
2016,"United States",all,All,13.1
2017,"United States",all,All,13.5
2018,"United States",all,All,13
2019,"United States",all,All,13.5
2020,"United States",all,All,10.7
2021,"United States",all,All,10
2012,Alabama,all,All,20
2013,Alabama,all,All,16.2
2014,Alabama,all,All,17.5
2015,Alabama,all,All,16.6
2016,Alabama,all,All,16.4
2017,Alabama,all,All,16.6
2018,Alabama,all,All,16.3
2019,Alabama,all,All,18.2
2020,Alabama,all,All,13.1
2021,Alabama,all,All,11.2
2012,Alaska,all,All,13.9
2013,Alaska,all,All,14.4
2014,Alaska,all,All,12
2015,Alaska,all,All,13.7
2016,Alaska,all,All,13.1
2017,Alaska,all,All,12.3
2018,Alaska,all,All,13.4
2019,Alaska,all,All,13.6
2020,Alaska,all,All,10.5
2021,Alaska,all,All,11
2012,Arizona,all,All,19.9
2013,Arizona,all,All,17
2014,Arizona,all,All,15.6
2015,Arizona,all,All,15.4
2016,Arizona,all,All,13.7
2017,Arizona,all,All,14.1
2018,Arizona,all,All,13.4
2019,Arizona,all,All,13.9
2020,Arizona,all,All,11.7
2021,Arizona,all,All,10.5
2012,Arkansas,all,All,21.3
2013,Arkansas,all,All,21
2014,Arkansas,all,All,18.3
2015,Arkansas,all,All,15.5
2016,Arkansas,all,All,15.4
2017,Arkansas,all,All,16.4
2018,Arkansas,all,All,14.9
2019,Arkansas,all,All,15.8
2020,Arkansas,all,All,13
2021,Arkansas,all,All,11.7
2012,California,all,All,17.1
2013,California,all,All,15.6
2014,California,all,All,13.6
2015,California,all,All,12.2
2016,California,all,All,11.4
2017,California,all,All,11.8
2018,California,all,All,11.9
2019,California,all,All,11.8
2020,California,all,All,8.6
2021,California,all,All,9.2
2012,Colorado,all,All,16
2013,Colorado,all,All,14.8
2014,Colorado,all,All,13.2
2015,Colorado,all,All,11.7
2016,Colorado,all,All,12
2017,Colorado,all,All,12.9
2018,Colorado,all,All,12.3
2019,Colorado,all,All,12.1
2020,Colorado,all,All,10.6
2021,Colorado,all,All,9.6
2012,Connecticut,all,All,12.1
2013,Connecticut,all,All,12.1
2014,Connecticut,all,All,11.4
2015,Connecticut,all,All,11
2016,Connecticut,all,All,9.9
2017,Connecticut,all,All,10.5
2018,Connecticut,all,All,9.3
2019,Connecticut,all,All,10
2020,Connecticut,all,All,7.6
2021,Connecticut,all,All,7.5
2012,Delaware,all,All,13
2013,Delaware,all,All,12.3
2014,Delaware,all,All,10.9
2015,Delaware,all,All,11.3
